EpochTime,Latitude,Longitude,Altitude,Satellite,PDOP,Speed,Heading,AccX,AccY,AccZ,RotX,RotY,RotZ,Pitch,Roll,Temp,Session,Step,CRC,Count,t,dt,gps_distance,speed_gps,speed_error,speed_flag
2026-04-02 17:31:46.800,48.24762726,16.37302399,166.7299957,9,2.49000001,0.05,79.42952728,50,-98,7906,4,41,-102,1.51456273,-0.88397694,-4864,7,3,45558,43563,1775151106.8,0.5,0.0,0.0,0.05,False
2026-04-02 17:31:47.300,48.24762726,16.37302399,166.6829987,9,2.49000001,0.12,19.41653061,-30,-78,7958,-11,43,-104,1.54408741,-0.88330168,-4848,7,3,61809,43564,1775151107.3,0.5,0.0,0.0,0.12,False
2026-04-02 17:31:47.800,48.24762726,16.37302399,166.6979981,9,2.49000001,0.103,19.41653061,0,-60,7884,-16,41,-100,1.53878617,-0.90813112,-4848,7,3,5434,43565,1775151107.8,0.5,0.0,0.0,0.103,False
2026-04-02 17:31:48.300,48.24763107,16.37302399,166.7059937,9,2.49000001,0.178,7.15828991,-6,-88,7910,-8,54,-98,1.53441286,-0.90446055,-4864,7,3,19928,43566,1775151108.3,0.5,0.4236526700406307,0.8473053400812613,-0.6693053400812614,False
2026-04-02 17:31:48.800,48.24763107,16.37302399,166.6719971,9,2.49000001,0.064,7.15828991,18,-80,7892,-15,40,-92,1.52428877,-0.92118245,-4624,7,3,5438,43567,1775151108.8,0.5,0.0,0.0,0.064,False
2026-04-02 17:31:49.300,48.24763107,16.37302399,166.6860046,9,2.49000001,0.171,21.21287918,44,-118,7994,-6,34,-98,1.51214123,-0.93372089,-4848,7,3,27784,43568,1775151109.3,0.5,0.0,0.0,0.171,False
2026-04-02 17:31:49.800,48.24763107,16.37302399,166.6289978,9,2.49000001,0.092,21.21287918,-20,-86,7884,-7,38,-101,1.50423121,-0.9001587,-4864,7,3,4415,43569,1775151109.8,0.5,0.0,0.0,0.092,False
2026-04-02 17:31:50.300,48.24763107,16.37302399,166.552002,9,2.49000001,0.014,21.21287918,26,-64,7966,-5,51,-97,1.5103668,-0.92807478,-5120,7,3,11017,43570,1775151110.3,0.5,0.0,0.0,0.014,False
2026-04-02 17:31:50.800,48.24763107,16.37302399,166.4859924,9,2.49000001,0.067,21.21287918,18,-120,7874,-18,38,-101,1.49577284,-0.92899042,-4848,7,3,63348,43571,1775151110.8,0.5,0.0,0.0,0.067,False
2026-04-02 17:31:51.300,48.24763107,16.37302399,166.4100037,9,2.49000001,0.152,51.97650909,4,-74,7926,-8,47,-98,1.47841132,-0.92011172,-4624,7,3,17664,43572,1775151111.3,0.5,0.0,0.0,0.152,False
